name,location__type,latitude,longitude,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
Sree Krishna batatawada,,19°01′25″ N,72°50′15″ E,Mumbai,Maharashtra,batatawada,samosa,3 star,4 star,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738766823/batata_nfqxss.jpg
Sai swad dosa,,19°04′20″ N,72°50′30″ E,Mumbai,Maharashtra,dosa ,idli,5 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738766959/sai_swad_cowdgy.avif
Shreeji stall,,19°05′20″ N,72°54′40″ E,Mumbai,Maharashtra,vada pav,pav bhaji,2 star,5 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738824170/shreeji_dtdtkj.jpg
Jai Jawan,,19°03′10″ N,72°49′45″ E,Mumbai,Maharahstra ,butter chicken,prawn,5 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738824248/jai_jawan_ecirme.jpg
Anna's idli stall,,18°59′45″ N,72°49′55″ E,Mumbai,Maharashtra,idli ,dosa,3 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738824323/anna_ork08q.avif
Shalimar,,18°57′30″ N,72°50′05″ E,Mumbai,Maharashtra ,mutton,kebab,3 star,4 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738824414/shalimar_ujflb5.avif
Kartik dosa centre,,19°08′50″ N,72°49′40″ E,Mumbai,Maharashtra,dosa ,idli,4 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738824513/kartik_dosa_kykam3.jpg
Haji Tikka corner,,18°57′20″ N,72°50′25″ E,Mumbai,Maharashtra,kebabs,malpua,3 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738824703/haji_x0utbw.jpg
Mamledar misal,,19°11′30″ N,72°58′20″ E,Mumbai,Maharahstra ,misal pav ,samosa,3 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738825639/mamledar_pi7kaz.webp
Bachelor's ice cream,,18°56′40″ N,72°49′20″ E,Mumbai,Maharashtra,ice cream,juices,2 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738825748/bachelor_s_xsd7cq.jpg
Prakash Shakahari Upahaar Kendra,,19°01′45″ N,72°50′20″ E,Mumbai,Maharashtra,vada pav,samosa,3 star,4 star,2 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738825846/prakash_rkujze.webp
Kala Khatta stall,,19°06′55″ N,72°49′10″ E,Mumbai,Maharashtra,gola,ice cream,2 star,3 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738826408/kala_khatta_agxh8a.webp
JJ garden vada pav,,18°30′40″ N,73°52′30″ E,Pune,Maharashtra,vada pav,samosa,3 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738830718/garden_vada_pav_v2mlzh.jpg
Sujata Mastani,,18°30′20″ N,73°51′50″ E,Pune,Maharashtra,milkshake,ice cream,4 star,5 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738830824/sujata_mastani_hi3web.webp
Bedekar misal,,18°31′25″ N,73°51′10″ E,Pune,Maharashtra,misal pav ,vada pav,2 star,3 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738831003/bedekar_misal_tofhhn.avif
Sadhana Misal pav,,20°00′55″ N,73°43′10″ E,Nashik,Maharashtra,misal pav ,buttermilk,5 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738852908/sadhana_vqjf6j.webp
Shaukin bhel,,20°00′40″ N,73°45′20″ E,Mumbai,Maharashtra,bhel puri,sev puri,3 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738852998/shokin_bhel_s4cwwc.avif
Tara Pan centre,,19°53′20″ N,75°20′45″ E,Aurangabad,Maharahstra,paan,-,4 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738853156/tara_pan_kjwgdt.avif
Yewale tea stall,,19°53′10″ N,75°20′30″ E,Aurangabad,Maharashtra,tea,coffee,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738853250/yewale_tea_it6drj.jpg
Phadtare misal pav,,16°41′20″ N,74°14′10″ E,Kolhapur,Maharashtra,misal pav ,pav bhaji,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738853348/phadtare_misal_xyrguz.avif
Vithal kamat pav bhaji,,17°40′10″ N,75°55′40″ E,Solapur,Maharahsta,pav bhaji,vada pav,4 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738853492/vithal_rfehfh.webp
Griddle mama,,"19°0'22"" N","72°49'29"" E",Mumbai,Maharashtra,rolls ,bowls,3 star,4 star ,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1739079924/griddle_mama_rhtbfk.jpg
Shri Lokseva dairy,,"19°0'22"" N","72°49'29"" E",Mumbai,Maharashtra,milkshake,-,4 star ,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1739079924/shri_lokseva_dairy_xxcjuq.jpg
Janta seva hindu hotel,,"19°0'22"" N","72°49'29"" E",Mumbai,Maharashtra,bun maska pav,tea,5 star ,4 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1739079924/janta_seva_hindu_hotel_glramy.jpg
Subhash hindu restaurant,,"19°0'22"" N","72°49'29"" E",Mumbai,Maharahstra,samosa,sodas,5 star ,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1739079924/subhash_hindu_restaurant_c9llrh.jpg
Suleman usman mithaiwala,,18°57′50″ N,72°50′30″ E,Mumbai,Maharahstra,malpua,phirni,4 star ,5 star ,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1739285094/suleman_bo1uec.png
